payment_id,policy_id,payment_date,amount_paid,payment_method,status
PAY00001,POL0001,2023-07-15,253.87,iDEAL,Late
PAY00002,POL0001,2023-09-22,253.87,Bank Transfer,On-time
PAY00003,POL0001,2024-02-16,253.87,iDEAL,On-time
PAY00004,POL0001,2024-04-16,253.87,Direct Debit,On-time
PAY00005,POL0001,2024-06-23,253.87,Direct Debit,Late
PAY00006,POL0002,2024-06-20,286.82,iDEAL,On-time
PAY00007,POL0002,2024-08-11,286.82,Bank Transfer,Late
PAY00008,POL0002,2024-09-20,286.82,iDEAL,On-time
PAY00009,POL0002,2024-11-18,286.82,Bank Transfer,On-time
PAY00010,POL0002,2024-12-16,286.82,iDEAL,On-time
PAY00011,POL0002,2025-03-19,286.82,Direct Debit,On-time
PAY00012,POL0003,2022-12-17,169.5,iDEAL,On-time
PAY00013,POL0003,2023-01-16,169.5,Bank Transfer,On-time
PAY00014,POL0003,2023-02-13,169.5,iDEAL,On-time
PAY00015,POL0003,2023-03-16,169.5,Bank Transfer,On-time
PAY00016,POL0003,2023-04-17,169.5,iDEAL,On-time
PAY00017,POL0003,2023-05-16,169.5,Bank Transfer,On-time
PAY00018,POL0003,2023-07-14,169.5,iDEAL,On-time
PAY00019,POL0003,2023-08-12,169.5,iDEAL,On-time
PAY00020,POL0003,2023-09-12,169.5,Bank Transfer,On-time
PAY00021,POL0003,2023-10-14,169.5,iDEAL,On-time
PAY00022,POL0004,2023-03-03,246.47,iDEAL,Late
PAY00023,POL0004,2023-04-12,246.47,iDEAL,On-time
PAY00024,POL0004,2023-06-10,246.47,Bank Transfer,On-time
PAY00025,POL0004,2023-09-11,246.47,Bank Transfer,On-time
PAY00026,POL0004,2023-10-11,246.47,Bank Transfer,On-time
PAY00027,POL0004,2023-11-18,246.47,Direct Debit,Late
PAY00028,POL0004,2023-12-21,246.47,iDEAL,Late
PAY00029,POL0004,2024-01-06,246.47,Bank Transfer,On-time
PAY00030,POL0005,2024-04-29,149.7,Bank Transfer,On-time
PAY00031,POL0005,2024-05-29,149.7,Direct Debit,On-time
PAY00032,POL0005,2024-11-02,149.7,Direct Debit,Late
PAY00033,POL0005,2024-12-17,149.7,Bank Transfer,Late
PAY00034,POL0005,2024-12-23,149.7,Direct Debit,On-time
PAY00035,POL0005,2025-01-25,149.7,Bank Transfer,On-time
PAY00036,POL0006,2023-08-07,115.64,Direct Debit,On-time
PAY00037,POL0006,2023-10-04,115.64,Direct Debit,On-time
PAY00038,POL0006,2023-12-03,115.64,Bank Transfer,On-time
PAY00039,POL0006,2024-01-01,115.64,Bank Transfer,On-time
PAY00040,POL0006,2024-03-03,115.64,Direct Debit,On-time
PAY00041,POL0006,2024-04-03,115.64,Bank Transfer,On-time
PAY00042,POL0006,2024-05-03,115.64,Direct Debit,On-time
PAY00043,POL0006,2024-08-21,115.64,Direct Debit,Late
PAY00044,POL0007,2023-11-20,130.28,iDEAL,On-time
PAY00045,POL0007,2023-12-19,130.28,iDEAL,On-time
PAY00046,POL0007,2024-03-23,130.28,Direct Debit,Late
PAY00047,POL0007,2024-04-19,130.28,Direct Debit,On-time
PAY00048,POL0007,2024-05-20,130.28,iDEAL,On-time
PAY00049,POL0007,2024-08-30,130.28,Bank Transfer,Late
PAY00050,POL0008,2023-02-12,199.07,Direct Debit,On-time
PAY00051,POL0008,2023-03-16,199.07,Bank Transfer,On-time
PAY00052,POL0008,2023-06-17,199.07,Direct Debit,Late
PAY00053,POL0008,2023-07-15,199.07,iDEAL,On-time
PAY00054,POL0008,2023-08-22,199.07,iDEAL,Late
