renewal_id,policy_id,expiry_date,offer_sent_date,response_date,outcome,new_premium
REN0001,POL0349,2024-08-14,2024-06-22,2024-07-14,Accepted,158.92
REN0002,POL0763,2023-09-14,2023-08-15,,No Response,175.68
REN0003,POL0310,2022-11-19,2022-10-14,2022-10-23,Rejected,135.92
REN0004,POL0404,2024-10-24,2024-09-15,2024-09-23,Rejected,189.71
REN0005,POL0383,2022-01-27,2021-12-10,2021-12-26,Rejected,126.63
REN0006,POL0249,2022-05-28,2022-04-20,2022-05-15,Accepted,129.09
REN0007,POL0731,2023-10-28,2023-08-30,2023-09-22,Rejected,205.45
REN0008,POL0208,2024-10-03,2024-08-14,2024-08-31,Accepted,146.02
REN0009,POL0680,2024-06-10,2024-04-25,2024-05-03,Rejected,286.26
REN0010,POL0308,2024-06-18,2024-05-18,,No Response,200.97
REN0011,POL0770,2024-11-02,2024-09-05,,No Response,213.2
REN0012,POL0195,2022-07-24,2022-06-14,2022-06-20,Accepted,234.85
REN0013,POL0762,2024-09-15,2024-07-18,2024-08-07,Rejected,127.3
REN0014,POL0091,2023-03-02,2023-01-25,2023-01-29,Accepted,181.83
REN0015,POL0784,2022-02-27,2021-12-31,2022-01-16,Accepted,179.95
REN0016,POL0626,2024-01-02,2023-11-29,2023-12-15,Rejected,77.26
REN0017,POL0525,2023-08-15,2023-07-01,,No Response,177.4
REN0018,POL0358,2022-10-07,2022-08-29,2022-09-18,Rejected,118.17
REN0019,POL0753,2024-08-23,2024-07-09,2024-08-02,Accepted,153.67
REN0020,POL0472,2023-07-11,2023-05-28,2023-06-07,Rejected,173.98
REN0021,POL0426,2024-12-08,2024-10-14,2024-10-23,Accepted,165.18
REN0022,POL0401,2024-10-25,2024-09-03,2024-09-18,Accepted,94.13
REN0023,POL0353,2023-12-06,2023-10-12,,No Response,109.45
REN0024,POL0596,2023-12-12,2023-10-16,,No Response,183.68
REN0025,POL0344,2022-12-09,2022-10-14,,No Response,108.8
REN0026,POL0394,2023-03-16,2023-01-22,2023-01-31,Accepted,45.07
REN0027,POL0299,2024-05-22,2024-04-08,2024-04-17,Accepted,72.03
REN0028,POL0064,2022-05-30,2022-04-06,2022-04-25,Accepted,113.97
REN0029,POL0771,2022-09-09,2022-07-16,2022-08-03,Rejected,94.61
REN0030,POL0402,2023-03-31,2023-02-08,2023-03-05,Rejected,240.65
REN0031,POL0158,2023-04-07,2023-02-25,,No Response,74.69
REN0032,POL0594,2022-06-07,2022-04-13,2022-04-17,Rejected,133.52
REN0033,POL0162,2024-12-02,2024-10-13,,No Response,170.1
REN0034,POL0129,2023-09-02,2023-07-27,,No Response,67.29
REN0035,POL0557,2022-12-11,2022-11-01,2022-11-22,Accepted,175.47
REN0036,POL0282,2023-03-10,2023-01-16,2023-01-27,Rejected,98.53
REN0037,POL0250,2022-05-31,2022-04-29,2022-05-07,Accepted,224.46
REN0038,POL0487,2024-08-21,2024-06-24,2024-06-29,Accepted,136.48
REN0039,POL0293,2022-07-10,2022-05-31,2022-06-21,Rejected,112.62
REN0040,POL0157,2022-02-26,2022-01-01,,No Response,97.89
REN0041,POL0298,2024-02-08,2024-01-05,2024-01-20,Accepted,211.44
REN0042,POL0083,2023-11-18,2023-10-11,2023-10-18,Accepted,218.9
REN0043,POL0424,2024-05-04,2024-03-26,2024-04-03,Rejected,62.51
REN0044,POL0759,2024-06-16,2024-05-02,2024-05-07,Accepted,110.04
REN0045,POL0747,2024-06-07,2024-04-23,2024-05-14,Rejected,88.5
REN0046,POL0688,2024-10-13,2024-09-10,2024-09-19,Accepted,116.86
REN0047,POL0764,2022-11-21,2022-09-28,2022-10-22,Accepted,276.72
REN0048,POL0480,2023-07-13,2023-06-09,2023-07-02,Accepted,135.12
REN0049,POL0089,2023-10-14,2023-09-12,,No Response,120.06
REN0050,POL0566,2023-03-06,2023-01-05,,No Response,146.1
REN0051,POL0339,2023-08-06,2023-06-09,2023-06-20,Accepted,116.71
REN0052,POL0107,2022-07-25,2022-05-31,2022-06-23,Rejected,73.63
REN0053,POL0490,2024-11-06,2024-09-12,2024-10-04,Rejected,133.45
REN0054,POL0015,2022-10-18,2022-09-01,2022-09-10,Rejected,152.94
REN0055,POL0074,2023-06-07,2023-04-17,2023-05-05,Accepted,148.38
REN0056,POL0455,2024-07-21,2024-05-31,2024-06-04,Accepted,91.05
REN0057,POL0643,2024-01-21,2023-12-08,2023-12-20,Accepted,125.56
REN0058,POL0410,2022-08-19,2022-07-07,,No Response,129.7
REN0059,POL0757,2023-07-03,2023-05-25,2023-06-04,Accepted,162.39
REN0060,POL0609,2023-09-23,2023-08-03,,No Response,205.03
REN0061,POL0040,2022-05-02,2022-03-15,2022-03-24,Accepted,203.01
REN0062,POL0262,2023-05-29,2023-04-13,2023-05-07,Accepted,227.07
